ADD_FULL,POSTAL_CD,X,Y,LONGITUDE,LATITUDE,OBJECTID,FACI_NAM,FACI_TYPE,UNIT,UNIT_TYPE,DEV_LOC,DEV_COUNT
28 Colonel Samuel Smith Park Dr,M8V 4B7,303448.789,4828134.457,-79.51654204,43.59514991,96,Ken Cox CC,Recreation or Sports Facility,,,Main Entrance,1
5 Replin Rd,M6A 2M8,309428.768,4841783.595,-79.44236268,43.7179975,23,Lawrence Heights CC,Recreation or Sports Facility,,,Reception,1
65 Front St W,M5J 1E6,314437.265,4833737.913,-79.38034838,43.64552824,186,Union Station,Transportation Facility,402,RM,Security Response,3
75 Eglinton Ave W,M4R 2G9,312790.492,4840460.658,-79.40066181,43.70606001,208,TPS - 53 Division,Law enforcement agency,,,Front Desk,2
92 Front St E,M5E 1C4,315111.031,4834173.939,-79.3719883,43.64944394,229,St. Lawrence Market Complex,Commercial Retail Space,,,St. Lawrence South - Lobby,3
100 Princes Blvd,M6K 3C3,311840.298,4832513.748,-79.41255482,43.63453887,251,Exhibition Place Grounds,Convention Facility,,,Direct Energy -Heritage Court,14
38 Comstock Rd,M1L 4V8,321618.075,4842061.456,-79.29107901,43.72032282,124,TTC - Eglinton Garage,Transportation Facility,,,By Formans office,2
45 Lynmont Rd,M9V 3W9,297186.284,4843275.016,-79.59431881,43.73139685,147,Albion Heights JMS  (TDSB),School,,,Outside Main Office,1
55 Front St W,,314527.479,4833763.93,-79.37922964,43.64576123,168,TTC - Union Station,Transportation Facility,,,Union,1
3200 Kennedy Rd,M1V 3S8,320556.675,4852661.857,-79.30394329,43.81576204,757,Mary Ward Catholic High School,School,,,Opposite Main Office Door,1
4325 McCowan Rd,M1V 4P1,322914.505,4854210.481,-79.27458222,43.82964787,780,Milliken Park CRC,Recreation or Sports Facility,,,Reception,1
5140 Yonge St,M2N 6L6,311777.396,4847396.016,-79.41314304,43.76849826,802,TTC - 5140 Yonge St.,Transportation Facility,6,FLR,reception 6th floor,1
5900 Leslie St,M2H 1J9,315157.162,4850669.447,-79.37110048,43.79792351,817,Zion Heights JHS,School,,,Outside main office,1
1920 Yonge St,M4S 3E6,313064.002,4839652.116,-79.39728018,43.69877947,690,TTC - 1920 Yonge,Transportation Facility,,,6th Floor (By womans Washroom),1
2430 Lawrence Ave E,M1P 2R5,323197.326,4845463.223,-79.27136278,43.75090581,714,EMS - District 2,Emergency Services,,,Main Entrance,1
2975 Don Mills Rd W,M2J 3B7,316755.225,4848881.921,-79.35128096,43.78180951,747,Oriole CRC,Recreation or Sports Facility,,,Lobby - outside Arena,1
1225 Kennedy Rd,M1P 4Y1,322843.363,4846036.857,-79.27573905,43.75607774,625,Kennedy Employment & Social Services,Office,1,UNIT,Reception,1
1435 Eglinton Ave W,M6C 3Z4,309888.062,4839598.678,-79.43668302,43.69832725,646,TPS - 13 Division,Law enforcement agency,,,Front Door,2
1530 Markham Rd,M1B 3G4,325876.831,4849815.768,-79.23792075,43.790013,658,1530 Markham Rd,Office,,,Lobby - East Doors,2
707 Dundas St W,M5T 2W6,312455.994,4834431.455,-79.40489713,43.65179429,532,Scadding Court Community Centr,Recreation or Sports Facility,,,Reception,1
779 Crawford St,M6G 3K4,311016.212,4835888.235,-79.42272573,43.66491155,555,Alex Duff Memorial ODP/ Ramsde,Outdoor Seasonal Facility,,,pool office / AIR Changeroom,1
1000 Murray Ross Pkwy,M3J 2P3,303332.391,4848090.324,-79.51803621,43.7747704,582,Black Creek Pioneer Village,Recreation or Sports Facility,,,Pavillon,2
1030 Don Mills Rd,M3C 1W6,317371.677,4843464.021,-79.34374814,43.73303175,590,Don Mills Arena,Recreation or Sports Facility,,,Arena - South Wall,1
433 Eastern Ave,M4M 1B7,317397.307,4835026.366,-79.3436271,43.65708179,462,433 Eastern (Eastern Yard),Industrial Facility,,,"Building B, West Doors",1
545 Van Horne Ave,M2J 4S8,317927.093,4849462.026,-79.33670807,43.78701138,486,Pleasantview CC,Recreation or Sports Facility,,,Reception,1
630 Renforth Dr,M9C 2N6,298112.982,4834910.266,-79.58271115,43.6561128,512,Hollycrest CS,Recreation or Sports Facility,,,Outside CS Office,1
256 Centennial Park Rd,M9C 5N3,297777.864,4835045.576,-79.58686767,43.65732766,385,Centennial Park - Ski Chalet,Recreation or Sports Facility,,,Lobby,1
8 Bedford Rd,,313020.699,4836314.951,-79.39786744,43.66874216,409,TTC - St George Station,Transportation Facility,,,St. George,1
173 King St W,,314049.064,4833951.897,-79.38515665,43.64745937,304,TTC - St Andrew Station,Transportation Facility,,,St. Andrew,1
160 Transit Rd,M3H 6C3,308527.855,4843827.208,-79.45352973,43.73639751,324,TTC - Wilson Training Center,Transportation Facility,,,By Washrooms,4
201 Copperfield Rd,M1E 5G7,331620.651,4846457.204,-79.16671896,43.75959763,355,FJ Horgan Filtration Plant,Industrial Facility,,,Sub-level 9,3
242 Milner Ave,M1S 5C4,325708.742,4849744.237,-79.24001211,43.78937389,376,TPS - 42 Division,Law enforcement agency,,,Booking Hall,2
111 Wellesley St E,M4Y 3A7,314590.103,4836019.622,-79.37841264,43.6660645,272,Wellesley Place Employment & Social Services,Office,,,Reception,1
70 Birmingham St,M8V 3W6,304503.218,4829238.015,-79.50348238,43.60508421,203,TPS - Training -Birmingham,Law enforcement agency,,,Outside Gym and Theatre,5
75 Gihon Spring Dr,M9V 4X6,297150.961,4845977.234,-79.59479321,43.75571101,213,Gihon Spring ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
90 Thirty First St,M8W 3E9,302346.416,4828047.318,-79.53019498,43.59436279,226,James S Bell CS,Recreation or Sports Facility,,,Outside CS Office,1
100 Queen St W,M5H 2N2,314171.528,4834548.831,-79.38362829,43.65283072,243,City Hall,Office,,,Council Chambers,3
30 Centre Island Pk,M5J 2E9,314599.946,4830425.376,-79.37839136,43.61570885,106,Island Natural Science School,School,,,N/A,1
38 Orfus Rd,M6A 1L6,307956.74,4841997.464,-79.46063004,43.71993015,125,Yorkdale ALC   SS,School,,,Main Office,1
40 St Clair Ave E,M4T 1M9,313451.031,4838529.247,-79.39249675,43.68866835,132,TPL - Deer Park,Library,,,Reference Desk,1
45 Norfinch Dr,M3N 1W8,302606.741,4846206.268,-79.52704624,43.75781812,142,Monsignor Fraser - Norfinch,School,,,Main Entrance,1
50 Francine Dr,M2H 2G6,315521.36,4851486.198,-79.36655854,43.80526991,150,AY Jackson SS,School,,,N/A,1
50 Toryork Dr,M9L 1X6,301032.7,4845885.089,-79.54659124,43.75492063,159,EMS - District 1,Emergency Services,,,Main Entrance,1
2999 Dufferin St,M6B 3T4,308540.783,4841103.633,-79.45338741,43.71188195,750,Fieldstone School,School,,,Front Office,1
3276 St Clair Ave E,M1L 1W1,322093.622,4841356.641,-79.28519944,43.71396799,759,TTC - Warden Station,Transportation Facility,,,Warden,1
3701 Danforth Ave,M1N 2G2,324352.8,4839654.886,-79.2572257,43.69859409,770,Variety Village,Recreation or Sports Facility,,,weight room,4
4330 Dufferin St,M3H 5R9,307479.187,4846648.734,-79.4665348,43.76179944,781,EMS HQ Security,Emergency Services,,,2nd FL by Community Medicine,3
4968 Dundas St W,M9A 1B7,302355.951,4833967.679,-79.53010116,43.64765297,793,Islington Seniors Center,Recreation or Sports Facility,,,Main Lobby,1
5183 Sheppard Ave E,M1B 5Z5,326231.708,4850335.863,-79.23349068,43.79468425,807,Chinese Cultural Centre of Gre,Recreation or Sports Facility,,,main ent-reception desk,1
1760 Martin Grove Rd,M9V 3S4,297342.957,4843769.692,-79.59238086,43.73585106,675,Father Henry Carr Catholic High School,School,,,near main office,1
1900 Yonge St,M4S 1Z2,313076.613,4839549.896,-79.3971253,43.69785923,687,TTC - Davisville Station,Transportation Facility,,,Davisville,4
2140 Avenue Rd,M5M 4M7,311073.667,4844168.674,-79.42192108,43.73945443,698,Armour Heights CC,Recreation or Sports Facility,,,Lobby,1
2222 Eglinton Ave E,M1K 2M2,322740.421,4843228.904,-79.27711045,43.7308055,707,TPS - 41 Division,Law enforcement agency,,,Front Desk,2
2445 Lake Shore Blvd W,M8V 1C5,305684.654,4830176.769,-79.48884575,43.61353373,717,Amos Waites ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
2650 Finch Ave W,M9M 3A3,299424.918,4845055.788,-79.56654867,43.74744562,729,Gord and Irene Risk CC,Recreation or Sports Facility,,,Main Lobby,1
1138 Bathurst St,M5R 3H2,311576.905,4837109.598,-79.41576136,43.67590932,608,TTC - Hillcrest Complex,Transportation Facility,,,Safety Dept. 1st floor,10
1155 King St W,M6K 1E9,310977.961,4833011.302,-79.42323652,43.63902484,619,Allan Lamport Stadium,Recreation or Sports Facility,,,East Bowl Entrance,2
1287 Bloor St W,M6H 1N7,309419.341,4835136.921,-79.44253604,43.6581689,631,TTC - Lansdowne Station,Transportation Facility,,,Lansdowne,1
1369 St Clair Ave W,M6E 1C5,308703.214,4837044.02,-79.45139986,43.67533938,641,Giovanni Caboto ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
1507 Lawrence Ave W,M6L 1A8,306184.971,4840579.829,-79.48262258,43.70717469,653,Amesbury CC,recreation or Sports Facility,,,Lobby,1
703 Don Mills Rd,M3C 3N3,318225.691,4840798.39,-79.3332133,43.70902229,530,703 Don Mills,Office,,,6th Flr - EMO,2
725 Bathurst St,M5S 2R5,312058.189,4835643.991,-79.4098118,43.6627127,538,Central Technical School,School,,,Art Building,2
779 The Queensway,M8Z 1N4,304330.168,4831502.904,-79.50562766,43.62547077,548,The Queensway Employment & Soc,Office,,,Reception,1
855 Oxford St,M8Z 1L6,303934.555,4830882.73,-79.51052913,43.61988825,567,TPS - West Collision Reporting,Law enforcement agency,,,Police Desk,1
959 Midland Ave,M1K 4G4,324243.999,4844026.664,-79.25841756,43.73794853,577,Jean Vanier Catholic High School,School,,,O/S Main Office,2
1008 Yonge St,M4W 2K1,313628.229,4837101.752,-79.39032224,43.675817,586,Ramsden Yard,Industrial Facility,,,Bldg 2 - Admin Office,1
1073A Millwood Rd,M4G 1X6,316040.125,4840079.142,-79.36034823,43.7025848,595,Leaside Curling Club,Recreation or Sports Facility,,,Lounge,1
400 Evans Ave,M8Z 1K6,302485.586,4830443.754,-79.52848074,43.61593405,457,TTC  -  Queensway Division,Transportation Facility,,,Traffic Office,1
444 Yonge St,M5B 2H7,314137.48,4835413.771,-79.38403538,43.6606165,467,TPS - C - College Park,Law enforcement agency,,,3rd Flr Control,2
495 Sherbourne St,M4X 1K7,314906.756,4836213.491,-79.37448263,43.66780544,478,Wellesley CC,Recreation or Sports Facility,,,Reception,1
545 Commissioners St,M4M 1A5,318571.79,4834730.972,-79.32907334,43.65440231,488,District Operational Services,Office,,,First Aid Room,2
578 Finch Ave W,M2R 1N7,308842.517,4847898.94,-79.44959349,43.77304673,499,TPL - Centennial West,Library,,,Front Foyer; R of Elevator,1
625 Brimley Rd,M1J 1B7,324874.723,4844567.234,-79.25056773,43.74279766,510,Knob Hill ODP,Outdoor Seasonal Facility,,,Pool Office,1
675 Royal York Rd,M8Y 2T1,304449.281,4832088.349,-79.50415178,43.63074078,520,Etobicoke School of the Arts,School,,,Outside Main Office,1
361A Old Finch Ave,M1B 5K7,329982.886,4853757.286,-79.18671801,43.82536325,433,Toronto Zoo (Security),Entertainment Facility,,,Education Center,10
843 Eastern Ave,M4L 1A2,318755.14,4835408.63,-79.32678285,43.66049865,561,Central Garage,Industrial Facility,,,First Aid Hallway,1
23 Grandravine Dr,M3J 1B3,305612.566,4845533.095,-79.48971889,43.75176174,86,Grandravine CC,Recreation or Sports Facility,,,Outside MultiPurpose Room,1
2 Orianna Dr,M8W 4Y1,300961.238,4828885.845,-79.54735577,43.60190521,14,Alderwood Centre,Recreation or Sports Facility,,,concourse area,1
9 Queens Quay W,M5J 2H3,314861.963,4833174.349,-79.37509467,43.64044976,38,Ferry Docks,Transportation Facility,,,Trillium,9
18 Dyas Rd,M3B 1V5,316652.641,4845538.389,-79.35262522,43.75170679,67,18 Dyas Rd.,Office,,,Main Lobby,1
30 Bank St,M6K 1R3,310260.227,4833982.184,-79.43212239,43.64776928,107,St. Ambrose Catholic School,School,,,Main Ent. Adjacent to display,1
1738 Islington Ave,M9A 3N2,301646.633,4837436.839,-79.53891566,43.67887721,674,Richview CI,School,,,Main Office,1
446 Lakeshore Ave,M5J 1X9,314424.055,4830293.065,-79.38056964,43.61451159,469,Island Filtration Plant (Centre Island),Industrial Facility,,,Admin Bldg,2
120 Disco Rd,M9W 1M4,296523.242,4839859.71,-79.60249645,43.70064781,276,Disco Transfer Station,Industrial Facility,,,Scale House,1
55 Salisbury Ave,M4X 1C5,315717.643,4836145.647,-79.36442908,43.66718311,167,A.P.P.L.E. Tracey Parish,School,,,Outside Main Office,1
1631 Queen St E,M4L 1G4,319657.25,4836056.09,-79.31558008,43.6663093,666,Beaches Employment & Social Services,Office,,,Front vestibule landing,1
201 Copperfield Rd,M1E 5G7,331620.651,4846457.204,-79.16671896,43.75959763,353,FJ Horgan Filtration Plant,Industrial Facility,,,Control Room,3
75 Birchmount Rd,M1N 3J7,323968.472,4839233.43,-79.26200886,43.69481062,206,Birchmount Arena,Recreation or Sports Facility,,,Lobby,1
91 Eastpark Blvd,M1H 1C6,326734.175,4846002.308,-79.22742285,43.75566251,227,Cedarbrook CC,Recreation or Sports Facility,,,Reception,1
35 Fairview Mall Dr,M2J 4S4,317117.629,4848583.641,-79.34678541,43.77911885,113,TPL - Fairview,Library,,,2nd Flr Checkout Desk,1
41 Cranfield Rd,M4B 3H6,320136.703,4841423.083,-79.30948277,43.71460838,136,TPS - 54 Division,Law enforcement agency,,,Front Desk,1
51 Beechgrove Dr,M1E 3Z3,332957.974,4847189.209,-79.15007266,43.76613735,161,Highland Creek Treatment Plant,Industrial Facility,,,Blower Bldg,3
3230 Bayview Ave,M2M 3R7,313337.666,4849558.53,-79.39372559,43.7879384,758,Bayview Arena,Recreation or Sports Facility,,,Lobby,1
4330 Dufferin St,M3H 5R9,307479.187,4846648.734,-79.4665348,43.76179944,782,EMS HQ Security,Emergency Services,,,Security Desk,3
5152 Yonge St,,311783.733,4847448.315,-79.41306366,43.76896895,803,TTC - North York Centre Station,Transportation Facility,,,North York Centre,1
5714 Yonge St,,311515.269,4848869.402,-79.41638058,43.78176253,815,TTC - Finch Station,Transportation Facility,,,Finch,1
1967 Ellesmere Rd,M1H 2W5,326108.065,4848208.646,-79.23511108,43.77554037,692,Scarborough Centennial CRC,Recreation or Sports Facility,,,Near main office,2
2467 Eglinton Ave E,M1K 2R1,323983.871,4843439.64,-79.26166777,43.73267122,720,Don Montgomery Centre,Recreation or Sports Facility,,,Lower level near Gym,1
1117 Finch Ave W,M3J 2P7,306669.277,4847119.603,-79.47659192,43.76604029,601,Chesswood Employment & Social Services,Office,,,Reception,1
15 Clubhouse Crt,M3L 2L7,304784.857,4844841.198,-79.49999661,43.74553425,55,Northwood CC,Recreation or Sports Facility,,,Main Lobby,1
15 Stephanie St,M5T 1B1,313588.078,4834351.082,-79.39086445,43.65105808,56,Harrison CC,Recreation or Sports Facility,,,Main Hallway,1
15 Oakburn Cres,M2N 2T5,312610.067,4846328.754,-79.40281263,43.75887478,57,15 Oakburn-TDSB,School,,,N/A,1
15 Trehorne Dr,M9P 1N8,302260.323,4838632.881,-79.53131053,43.68964534,58,Scarlett Heights EA,School,,,Outside Main Office,1
15 Redgrave Dr,,299292.607,4837886.549,-79.56811694,43.68291275,59,Westgrove ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
15 Grierson Rd,M9W 3R2,301336.647,4841209.576,-79.54278548,43.71283549,61,Pinepoint ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,2
3 Gade Dr,M3M 2K2,305711.776,4842956.631,-79.48849022,43.72856993,62,St. Raphael Catholic School,School,,,Outside Main Office,1
16 Phin Ave,M4J 3T2,317956.118,4837478.967,-79.33663928,43.67914883,63,Eastern Commerce CI,School,,,N/A,1
17 Fairmeadow Ave,M2P 1W6,313060.028,4845869.173,-79.39723498,43.75474156,64,17 Fairmeadow,Office,,,Main Door,1
17 Swan Ave,,300867.206,4833657.515,-79.54855432,43.64485551,65,Wedgewood ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
18 Kempford Blvd,M2N 2B9,311489.728,4848347.026,-79.41670444,43.77706087,66,St. Cyril Catholic School,School,,,Outside Main Office,1
19 Castlegrove Blvd,M3A 1K9,319059.3,4844872.585,-79.32276158,43.74568002,68,Broadlands CC,Recreation or Sports Facility,,,Lobby,1
19 Sedgebrook Cres,M9B 2X2,299812.365,4835423.386,-79.56164715,43.66074479,69,West Deane ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
20 Bernadine St,M1P 4M2,324178.342,4847483.49,-79.25910858,43.76906576,70,St. Victor Catholic School,School,,,Outside Office,1
20 Canadian Rd,M1R 4B4,321000.091,4846577.524,-79.29861313,43.760987,71,Ellesmere CC,recreation or Sports Facility,,,Reception,1
20 Lesmill Rd,M3B 2T5,316613.865,4846071.106,-79.35309834,43.75651107,72,Lesmill Employment & Social Services,Office,,,Reception,1
20 Upjohn Rd,M3B 2V9,316784.182,4845698.967,-79.35099148,43.75315866,73,BILD - Building Industry and Land Development,Industrial Facility,,,hallway by reception,1
20 Tillplain Rd,M3H 5R2,307853.017,4845724.609,-79.46189742,43.75347956,74,William Lyon Mackenzie CI,School,,,Outside Main Office,1
20 Dubray Ave,M3K 1V5,306598.453,4843062.748,-79.47748408,43.72952368,75,Madonna Catholic High School,School,,,Outside MainOffice,1
60 Playfair Ave,M6B 2P9,308139.109,4840903.909,-79.4583731,43.71008601,181,Dante Aligheiri,School,,,O/S Main Office,1
70 Birmingham St,M8V 3W6,304503.218,4829238.015,-79.50348238,43.60508421,199,TPS - Training -Birmingham,Law enforcement agency,,,Main fl. by staff lounge,5
89 Northline Rd,M4B 3G1,320335.771,4841547.261,-79.30700871,43.7157221,223,Elections Services,Office,,,Warehouse lunch room,1
40 Fairfax Cres,M1L 1Z9,321925.813,4841648.838,-79.28727273,43.71660206,128,SATEC@WA Porter CI,School,,,Outside Main Office,1
48 Thorncliffe Park Dr,M4H 1J7,317459.226,4840122.93,-79.34273683,43.70294741,149,Jenner Jean-Marie CC,Recreation or Sports Facility,,,Main Hallway,1
3350 Victoria Park Ave,M2H 3K5,317876.26,4851257.049,-79.33729647,43.80316899,761,Victoria Park Transfer Station,Industrial Facility,,,Scale House,1
4401 Jane St,M3N 2K3,303272.37,4847055.54,-79.51878227,43.76546443,786,Driftwood CC,Recreation or Sports Facility,,,Behind Reception Desk,1
5230 Finch Ave W,M9V 0A1,298057.495,4844659.363,-79.58352169,43.74386606,808,TPS - 23 Division,Law enforcement agency,,,Cells,2
1785 Finch Ave W,M3N 1M6,304191.766,4846334.268,-79.50736247,43.75897348,676,TPL - York Woods,Library,,,Main Flr - Elevator,1
2085 Midland Ave,,323157.188,4847664.819,-79.27178633,43.77072364,696,TTC - Midland Station,Transportation Facility,,,Midland,1
2455 Eglinton Ave E,,323772.751,4843438.203,-79.26428872,43.73266364,719,TTC - Kennedy Station,Transportation Facility,,,Kennedy,1
1120 Finch Ave W,M3J 3H7,306773.34,4847249.608,-79.47529894,43.76721021,602,TTC - 1120 Finch,Transportation Facility,800,STE,Lunch Room,1
130 The Queensway,M8Y 1H9,306380.414,4832357.789,-79.48022028,43.63316489,288,Humber Treatment Plant,Industrial Facility,,,Admin Bldg - Main Lobby,1
137 Edward St,M5G 2P8,313820.994,4834829.585,-79.38796943,43.65536218,291,TPS - C - 137 Edward,Law enforcement agency,,,Wanding Station,1
140 Commander Blvd,M1S 3H7,323469.207,4850368.01,-79.26781763,43.79504781,292,Commander Park RC,Recreation or Sports Facility,,,Lobby,1
140 Antibes Dr,M2R 3J3,309052.338,4848800.812,-79.44697983,43.78116358,293,Antibes CC,Recreation or Sports Facility,,,lobby,1
140 Merton St,M4S 1A1,313513.284,4839516.175,-79.39170865,43.69755073,294,Merton Yard,Industrial Facility,,,Main Entrance,1
115 Felstead Ave,,318805.866,4837444.044,-79.32610106,43.67881888,273,Monarch Park ODP/ Otter Creek,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
120 Galloway Rd,M1E 1W7,329351.957,4846371.74,-79.19489782,43.75890646,274,Maplewood HS,School,,,Outside Main Office,1
120 Banbury Rd,M3B 2L3,315292.189,4844549.656,-79.36954077,43.74283594,275,Banbury CC,Recreation or Sports Facility,,,Main Lobby,1
121 Industry St,M6M 5B6,305300.667,4839052.991,-79.49359609,43.69343218,277,TTC - Mount Dennis Garage,Transportation Facility,,,Garage Formans office,2
121 Wellesworth Dr,M9C 4R8,298187.405,4835701.842,-79.58179835,43.6632387,279,Eringate ODP,Outdoor Seasonal Facility,,,Pool Office,1
125 Chatsworth Dr,M4R 1S1,312000.34,4842256.284,-79.41044232,43.7222313,280,Lawrence Park CI,School,,,Across VP Office,1
129 Peter St,M5V 2H3,313396.946,4834094.072,-79.39323797,43.64874717,284,Streets to Homes,Residence (excluding private homes),,,Main Entrance,1
130 Doris Ave,M2N 0A8,312093.531,4847053.053,-79.40922107,43.7654082,285,Claude Watson School of the Arts,School,,,outside main office,1
130 Queen St W,M5H 2N6,314065,4834420.6,-79.38495108,43.65167788,286,TPS - C - Osgoode Hall,Law enforcement agency,,,Wanding Station,1
130 Shanly St,M6H 1L9,310028.935,4835753.175,-79.43497209,43.6637121,287,St. Anthony Catholic School,School,,,Outside Main Office,1
361A Old Finch Ave,M1B 5K7,329982.886,4853757.286,-79.18671801,43.82536325,424,Toronto Zoo (Security),Entertainment Facility,,,Admin Building,10
361A Old Finch Ave,M1B 5K7,329982.886,4853757.286,-79.18671801,43.82536325,425,Toronto Zoo (Security),Entertainment Facility,,,First Aid,10
361A Old Finch Ave,M1B 5K7,329982.886,4853757.286,-79.18671801,43.82536325,426,Toronto Zoo (Security),Entertainment Facility,,,African Pavillion-Rain Forest,10
361A Old Finch Ave,M1B 5K7,329982.886,4853757.286,-79.18671801,43.82536325,429,Toronto Zoo (Security),Entertainment Facility,,,Peacock Cafe,10
361A Old Finch Ave,M1B 5K7,329982.886,4853757.286,-79.18671801,43.82536325,430,Toronto Zoo (Security),Entertainment Facility,,,America's Pavilion,10
361A Old Finch Ave,M1B 5K7,329982.886,4853757.286,-79.18671801,43.82536325,432,Toronto Zoo (Security),Entertainment Facility,,,Austria/Asia Pavillion,10
361 University Ave,M5G 1T3,313977.796,4834559.296,-79.38602989,43.65292729,434,TPS - C - 361 University,Law enforcement agency,,,8th Flr Holding Area,4
361 University Ave,M5G 1T3,313977.796,4834559.296,-79.38602989,43.65292729,435,TPS - C - 361 University,Law enforcement agency,,,DNA Room - Cells,4
361 University Ave,M5G 1T3,313977.796,4834559.296,-79.38602989,43.65292729,436,TPS - C - 361 University,Law enforcement agency,,,Police Office - Main Lobby,4
361 University Ave,M5G 1T3,313977.796,4834559.296,-79.38602989,43.65292729,437,TPS - C - 361 University,Law enforcement agency,,,5th Flr Holding Area,4
370 Broadview Ave,M4K 2M8,316625.082,4835995.161,-79.35318018,43.66581483,439,TPL - Riverdale,Library,,,Circulation Desk,1
370 The West Mall,M9C 1E4,299458.185,4833308.263,-79.56601694,43.64170365,440,West Mall ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
371 Bloor St W,M5S 2R7,312646.699,4836073.279,-79.40250854,43.66657078,441,TTC - Spadina Station,Transportation Facility,,,Spadina,1
373 Cedarvale Ave,M4C 4K7,319688.932,4839596.94,-79.31508959,43.69818004,442,Stan Wadlow Clubhouse,Recreation or Sports Facility,,,Reception,1
380 The Westway,M9R 1H4,299757.192,4838151.055,-79.56235702,43.6852967,444,Kipling CI,School,,,Outside Main Office,1
393 University Ave,M7A 2S1,313882.176,4834677.845,-79.38721353,43.65399556,446,TPS - C -  393 University,Law enforcement agency,,,Booking Office,1
396 Spring Garden Ave,M2N 3H5,313532.231,4847494.513,-79.39134463,43.7693665,447,St. Gabriel Catholic School,School,,,Outside Main Office,1
399 The West Mall,M9C 2Y2,299503.625,4833538.964,-79.56545608,43.6437806,448,Etobicoke Civic,Office,,,Reception Desk,1
400 Danforth Rd,M1L 3X6,323326.975,4840473.606,-79.26992422,43.70598988,449,TTC - Birchmount Division,Transportation Facility,,,Traffic Office,2
400 Danforth Rd,M1L 3X6,323326.975,4840473.606,-79.26992422,43.70598988,450,TTC - Birchmount Garage,Transportation Facility,,,Garage by formans office,2
146 Glendonwynne Rd,M6P 3J7,306846.811,4834952.798,-79.47443065,43.65652234,302,Ursula Franklin Academy,School,,,N/A,1
149 River St,M5A 3P8,316247.264,4835548.634,-79.35787445,43.66180128,305,FRED (East),Industrial Facility,,,Main Entrance,1
150 Grenoble Dr,M3C 1E3,318757.099,4841301.317,-79.3266067,43.71353932,307,Flemingdon CC,recreation or Sports Facility,,,Reception,1
150 Greenwood Ave,,318556.417,4836406.963,-79.32922113,43.66948835,308,Greenwood AIR,Outdoor Seasonal Facility,,,Change room,2
150 Greenwood Ave,,318556.417,4836406.963,-79.32922113,43.66948835,309,Greenwood ODP,Outdoor Seasonal Facility,,,Pool Office,2
150 Sherbourne St,M5A 2R6,315238.113,4834835.385,-79.3704002,43.65539613,310,John Innes CRC,Recreation or Sports Facility,,,reception,1
150 Eglinton Ave E,M4P 3E2,313326.589,4840666.436,-79.39400679,43.70790627,311,Yonge Eglinton Employment & S,Office,900,STE,Reception,1
150 Disco Rd,M9W 1M4,296158.955,4839925.446,-79.60701712,43.70123527,313,Disco Yard,Industrial Facility,,,BLDG 100 - 2nd Flr,2
150 Disco Rd,M9W 1M4,296158.955,4839925.446,-79.60701712,43.70123527,314,Disco Yard,Industrial Facility,,,BLDG 101,2
155 Hilda Ave,M2M 1V6,310720.02,4850179.081,-79.42624584,43.79355774,317,Newtonbrook SS,School,,,N/A,1
155 Crawford St,M6J 2V5,311611.274,4833836.093,-79.41537391,43.64643528,318,Trinity CRC,Community Hall,,,Reception area,1
155 Falstaff Ave,M6L 2E5,305149.103,4841686.352,-79.49547522,43.71713612,319,Nelson A. Boylen CI,School,,,NA,1
156 Centennial Park Rd,M9C 5N3,297820.894,4835001.682,-79.58633361,43.65693296,320,Centennial Park Arena,Recreation or Sports Facility,,,main lobby,1
160 Transit Rd,M3H 6C3,308527.855,4843827.208,-79.45352973,43.73639751,321,TTC - Wilson Division,Transportation Facility,,,Main Entrance,4
160 Transit Rd,M3H 6C3,308527.855,4843827.208,-79.45352973,43.73639751,322,TTC - Wilson Garage,Transportation Facility,,,Garage By Formans office,4
160 Neptune Dr,M6A 1X4,309365.972,4842996.945,-79.44313202,43.72891943,325,Baycrest Arena,Recreation or Sports Facility,,,Arena,1
165 Grenoble Dr,M3C 3E7,318676.987,4841265.089,-79.32760175,43.71321473,326,Angela James Arena,Recreation or Sports Facility,,,Arena - SW wall,1
171 Yonge St,,314545.197,4834467.739,-79.37899708,43.65209606,328,TTC - Queen Station,Transportation Facility,,,Queen,1
175 Scarlett Rd,,304436.77,4836832.081,-79.50431031,43.67344088,331,Smythe ODP,Outdoor Seasonal Facility,,,Pool Office / AIR Change Room,1
175 Mount Olive Dr,M9V 2E3,297073.003,4845344.095,-79.59575518,43.75001972,332,Smithfield CS,Recreation or Sports Facility,,,Outside main  office,2
175 Mount Olive Dr,M9V 2E3,297073.003,4845344.095,-79.59575518,43.75001972,333,Smithfield ODP,Outdoor Seasonal Facility,,,Pool Office,2
180 Fallingbrook Rd,,322510.869,4838001.161,-79.2801324,43.68375472,334,Blantyre ODP,Outdoor Seasonal Facility,,,Pool Office,1
